original_snippet	mocked_snippet	var	tbd	type
'import datetime\nprint(now)\nyear = lambda x: x.year\nmonth = lambda x: x.month\nday = lambda x: x.day\nt = lambda x: x.time()\nprint(year(now))\nprint(month(now))\nprint(day(now))\nprint(t(now))'	'class TBD4():\n\n    def __init__(self, *args, **kwargs):\n        pass\n\nclass TBD3():\n\n    def __init__(self, *args, **kwargs):\n        pass\n\nclass TBD2():\n\n    def __init__(self, *args, **kwargs):\n        pass\n\nclass TBD1():\n\n    def __init__(self, *args, **kwargs):\n        pass\n\nclass TBD0():\n\n    def __init__(self, *args, **kwargs):\n        pass\n\n    def year(self, arg0):\n        return TBD1()\n\n    def month(self, arg0):\n        return TBD2()\n\n    def day(self, arg0):\n        return TBD3()\n\n    def time(self):\n        return TBD4()\nnow = TBD0()\n__original_start_marker = None\nimport datetime\nprint(now)\nyear = (lambda x: x.year)\nmonth = (lambda x: x.month)\nday = (lambda x: x.day)\nt = (lambda x: x.time())\nprint(year(now))\nprint(month(now))\nprint(day(now))\nprint(t(now))'	now	TBD0	datetime
"""my_list = ['p', 'q']\nn = 4\nprint(new_list)"""	"""class TBD1():\n\n    def __init__(self, *args, **kwargs):\n        pass\nnew_list = TBD1()\n__original_start_marker = None\nmy_list = ['p', 'q']\nn = 4\nprint(new_list)"""	new_list	TBD1	list
"""print('Original list:')\nprint(nums)\nnums[6:10], nums[1:3] = (nums[1:3], nums[6:10])\nprint('\\nSwap two sublists of the said list:')\nprint(nums)\nnums[1:3], nums[4:6] = (nums[4:6], nums[1:3])\nprint('\\nSwap two sublists of the said list:')\nprint(nums)"""	"""class TBD6():\n\n    def __init__(self, *args, **kwargs):\n        pass\n\nclass TBD5():\n\n    def __init__(self, *args, **kwargs):\n        pass\n\nclass TBD4():\n\n    def __init__(self, *args, **kwargs):\n        pass\n\nclass TBD3():\n\n    def __init__(self, *args, **kwargs):\n        pass\n\nclass TBD2():\n\n    def __init__(self, *args, **kwargs):\n        pass\n\nclass TBD1():\n\n    def __init__(self, *args, **kwargs):\n        pass\n\nclass TBD0():\n\n    def __init__(self):\n        self.container = {1: TBD1(), 2: TBD2(), 6: TBD3(), 7: TBD4(), 8: TBD5(), 9: TBD6()}\n        self.keys = list(self.container.keys())\n        self.iter_current = 0\n\n    def __refresh_keys(self):\n        self.keys = list(self.container.keys())\n        for key in self.keys:\n            if (not isinstance(key, int)):\n                return\n        sorted(self.keys)\n\n    def __str__(self):\n        self.__refresh_keys()\n        ret_str = ''\n        ret_str += '[ '\n        for (idx, (key, val)) in enumerate(self.container.items()):\n            ret_str += str(val)\n            if (idx < (len(self.keys) - 1)):\n                ret_str += ', '\n        ret_str += ' ]'\n        return ret_str\n\n    def __getitem__(self, key):\n        self.__refresh_keys()\n        ret_val = None\n        if isinstance(key, slice):\n            list_to_return = []\n            start = (key.start or 0)\n            stop = (key.stop or len(self.container))\n            step = (key.step or 1)\n            if (start < 0):\n                if ((start * (- 1)) > len(self.keys)):\n                    diff = ((start * (- 1)) - len(self.keys))\n                    if (len(self.keys) > 0):\n                        for i in range(max(self.keys), ((max(self.keys) + diff) + 1)):\n                            self.container[i] = 0\n                    else:\n                        for i in range(0, (diff + 1)):\n                            self.container[i] = 0\n                self.__refresh_keys()\n                start = self.keys[start]\n            if (stop < 0):\n                if ((stop * (- 1)) > len(self.keys)):\n                    diff = ((stop * (- 1)) - len(self.keys))\n                    if (len(self.keys) > 0):\n                        for i in range(max(self.keys), ((max(self.keys) + diff) + 1)):\n                            self.container[i] = 0\n                    else:\n                        for i in range(0, (diff + 1)):\n                            self.container[i] = 0\n                self.__refresh_keys()\n                stop = self.keys[stop]\n            for i in range(start, stop, step):\n                list_to_return.append(self.container[i])\n            ret_val = list_to_return\n        elif isinstance(key, int):\n            if (key < 0):\n                key = self.keys[key]\n            ret_val = self.container[key]\n        elif isinstance(key, str):\n            if (key not in self.container.keys()):\n                self.container[key] = key\n                print('[FROM INNER-WORLD], [ADD STR-KEY], [TGT {}], [ADDING (KEY, VALUE): ({}, {})]'.format(type(self).__name__, key, 'TBD'))\n            ret_val = self.container[key]\n        else:\n            if (key not in self.container.keys()):\n                self.container[key] = key\n                print('[FROM INNER-WORLD], [ADD OBJ-KEY], [TGT {}], [ADDING (KEY, VALUE): ({}, {})]'.format(type(self).__name__, type(key).__name__, 'TBD'))\n            ret_val = self.container[key]\n        return ret_val\n\n    def __setitem__(self, key, val):\n        self.__refresh_keys()\n        if isinstance(key, slice):\n            start = (key.start or 0)\n            stop = (key.stop or len(self.container))\n            step = (key.step or 1)\n            if (start < 0):\n                start = self.keys[start]\n            if (stop < 0):\n                stop = self.keys[stop]\n            for i in range(0, stop, step):\n                if (i not in self.keys):\n                    self.container[i] = 0\n            for i in range(start, stop, step):\n                self.container[i] = val\n            return True\n        elif isinstance(key, int):\n            if (key < 0):\n                key = self.keys[key]\n            for i in range(0, key):\n                if (i not in self.keys):\n                    self.container[i] = 0\n            self.container[key] = val\n            return True\n        elif isinstance(key, str):\n            self.container[key] = val\n            return True\n        self.__refresh_keys()\n        return False\n\n    def __iter__(self):\n        return iter(self.container.values())\n\n    def __len__(self):\n        return len(self.keys)\nnums = TBD0()\n__original_start_marker = None\nprint('Original list:')\nprint(nums)\n(nums[6:10], nums[1:3]) = (nums[1:3], nums[6:10])\nprint('\\nSwap two sublists of the said list:')\nprint(nums)\n(nums[1:3], nums[4:6]) = (nums[4:6], nums[1:3])\nprint('\\nSwap two sublists of the said list:')\nprint(nums)"""	nums	TBD0	list
"""import pandas as pd\nprint('Yearly time perid:', ytp)\nprint('\\nAll the properties of the said period:')\nprint(dir(ytp))"""	"""class TBD0():\n\n    def __init__(self, *args, **kwargs):\n        pass\nytp = TBD0()\n__original_start_marker = None\nimport pandas as pd\nprint('Yearly time perid:', ytp)\nprint('\\nAll the properties of the said period:')\nprint(dir(ytp))"""	ytp	TBD0	Period
"""import numpy as np\nnums2 = np.array([[5, 3, 4], [3, 2, 5]])\nprint('Array1:')\nprint(nums1)\nprint('Array2:')\nprint(nums2)\nprint('\\nMultiply said arrays of same size element-by-element:')\nprint(np.multiply(nums1, nums2))"""	"""class TBD2():\n\n    def __init__(self, *args, **kwargs):\n        pass\nnums1 = 0\n__original_start_marker = None\nimport numpy as np\nnums2 = np.array([[5, 3, 4], [3, 2, 5]])\nprint('Array1:')\nprint(nums1)\nprint('Array2:')\nprint(nums2)\nprint('\\nMultiply said arrays of same size element-by-element:')\nprint(np.multiply(nums1, nums2))"""	nums1	TBD1	ndarray
"""def square_num(n):\n    return n * n\nnums = [4, 5, 2, 9]\nprint('Original List: ', nums)\nprint('Square the elements of the said list using map():')\nprint(list(result))"""	"""result = {}\n__original_start_marker = None\n\ndef square_num(n):\n    return (n * n)\nnums = [4, 5, 2, 9]\nprint('Original List: ', nums)\nprint('Square the elements of the said list using map():')\nprint(list(result))"""	result	TBD1	map
"""import pandas as pd\nprint('All Sundays of 2019:')\nprint(result)"""	"""class TBD0():\n\n    def __init__(self, *args, **kwargs):\n        pass\nresult = TBD0()\n__original_start_marker = None\nimport pandas as pd\nprint('All Sundays of 2019:')\nprint(result)"""	result	TBD0	Series
"""from collections import defaultdict\nclasses = (('V', 1), ('VI', 1), ('V', 2), ('VI', 2), ('VI', 3), ('VII', 1))\nfor class_name, roll_id in classes:\n    class_rollno[class_name].append(roll_id)\nprint(class_rollno)"""	"""class TBD9():\n\n    def __init__(self, *args, **kwargs):\n        pass\n\nclass TBD7():\n\n    def __init__(self, *args, **kwargs):\n        pass\n\n    def append(self, arg0):\n        return TBD9()\n\nclass TBD6():\n\n    def __init__(self, *args, **kwargs):\n        pass\n\nclass TBD4():\n\n    def __init__(self, *args, **kwargs):\n        pass\n\n    def append(self, arg0):\n        return TBD6()\n\nclass TBD3():\n\n    def __init__(self, *args, **kwargs):\n        pass\n\nclass TBD1():\n\n    def __init__(self, *args, **kwargs):\n        pass\n\n    def append(self, arg0):\n        return TBD3()\nclass_rollno = {'V': TBD1(), 'VI': TBD4(), 'VII': TBD7()}\n__original_start_marker = None\nfrom collections import defaultdict\nclasses = (('V', 1), ('VI', 1), ('V', 2), ('VI', 2), ('VI', 3), ('VII', 1))\nfor (class_name, roll_id) in classes:\n    class_rollno[class_name].append(roll_id)\nprint(class_rollno)"""	class_rollno	TBD0	defaultdict
"""import pandas as pd\nimport numpy as np\nsales_arrays = [['sale1', 'sale1', 'sale2', 'sale2', 'sale3', 'sale3', 'sale4', 'sale4'], ['city1', 'city2', 'city1', 'city2', 'city1', 'city2', 'city1', 'city2']]\nsales_tuples = list(zip(*sales_arrays))\nprint('Create a MultiIndex:')\nsales_index = pd.MultiIndex.from_tuples(sales_tuples, names=['sale', 'city'])\nprint(sales_tuples)\nprint('\\nConstruct a Dataframe using the said MultiIndex levels: ')\nprint(df)"""	"""class TBD2():\n\n    def __init__(self, *args, **kwargs):\n        pass\ndf = TBD2()\n__original_start_marker = None\nimport pandas as pd\nimport numpy as np\nsales_arrays = [['sale1', 'sale1', 'sale2', 'sale2', 'sale3', 'sale3', 'sale4', 'sale4'], ['city1', 'city2', 'city1', 'city2', 'city1', 'city2', 'city1', 'city2']]\nsales_tuples = list(zip(*sales_arrays))\nprint('Create a MultiIndex:')\nsales_index = pd.MultiIndex.from_tuples(sales_tuples, names=['sale', 'city'])\nprint(sales_tuples)\nprint('\\nConstruct a Dataframe using the said MultiIndex levels: ')\nprint(df)"""	df	TBD2	DataFrame
"""print('Original list:')\nprint(list1)\nprint('\\nAfter deleting the empty lists from the said lists of lists')\nlist2 = [x for x in list1 if x]\nprint(list2)"""	"""list1 = {}\n__original_start_marker = None\nprint('Original list:')\nprint(list1)\nprint('\\nAfter deleting the empty lists from the said lists of lists')\nlist2 = [x for x in list1 if x]\nprint(list2)"""	list1	TBD0	list
"""def remove_none(nums):\n    result = [x for x in nums if x is not None]\n    return result\nprint('Original list:')\nprint(nums)\nprint('\\nRemove None value from the said list:')\nprint(remove_none(nums))"""	"""nums = {}\n__original_start_marker = None\n\ndef remove_none(nums):\n    result = [x for x in nums if (x is not None)]\n    return result\nprint('Original list:')\nprint(nums)\nprint('\\nRemove None value from the said list:')\nprint(remove_none(nums))"""	nums	TBD0	list
"""import platform as pl\nfor key in os_profile:\n    if hasattr(pl, key):\n        print(key + ': ' + str(getattr(pl, key)()))"""	"""os_profile = {}\n__original_start_marker = None\nimport platform as pl\nfor key in os_profile:\n    if hasattr(pl, key):\n        print(((key + ': ') + str(getattr(pl, key)())))"""	os_profile	TBD0	list
"""import numpy as np\nx = np.array([0, 1, -1])\nprint('Original array: ')\nprint(x)\nr1 = np.negative(x)\nassert np.array_equal(r1, r2)\nprint('Numerical negative value for all elements of the said array:')\nprint(r1)"""	"""class TBD1():\n\n    def __init__(self, *args, **kwargs):\n        pass\nr2 = TBD1()\n__original_start_marker = None\nimport numpy as np\nx = np.array([0, 1, (- 1)])\nprint('Original array: ')\nprint(x)\nr1 = np.negative(x)\nassert np.array_equal(r1, r2)\nprint('Numerical negative value for all elements of the said array:')\nprint(r1)"""	r2	TBD1	ndarray
"""import numpy as np\nimport pandas as pd\nchar_list = list('ABCDEFGHIJKLMNOP')\nnum_arra = np.arange(8)\nnum_dict = dict(zip(char_list, num_arra))\ndf = num_ser.to_frame().reset_index()\nprint(df.head())"""	"""class TBD3():\n\n    def __init__(self, *args, **kwargs):\n        pass\n\nclass TBD2():\n\n    def __init__(self, *args, **kwargs):\n        pass\n\n    def head(self):\n        return TBD3()\n\nclass TBD1():\n\n    def __init__(self, *args, **kwargs):\n        pass\n\n    def reset_index(self):\n        return TBD2()\n\nclass TBD0():\n\n    def __init__(self, *args, **kwargs):\n        pass\n\n    def to_frame(self):\n        return TBD1()\nnum_ser = TBD0()\n__original_start_marker = None\nimport numpy as np\nimport pandas as pd\nchar_list = list('ABCDEFGHIJKLMNOP')\nnum_arra = np.arange(8)\nnum_dict = dict(zip(char_list, num_arra))\ndf = num_ser.to_frame().reset_index()\nprint(df.head())"""	num_ser	TBD0	Series
"""import pandas as pd\nimport numpy as np\nnp.random.seed(24)\ndf = pd.DataFrame({'A': np.linspace(1, 10, 10)})\ndf = pd.concat([df, pd.DataFrame(np.random.randn(10, 4), columns=list('BCDE'))], axis=1)\ndf.iloc[0, 2] = np.nan\ndf.iloc[3, 3] = np.nan\ndf.iloc[4, 1] = np.nan\ndf.iloc[9, 4] = np.nan\nprint('Original array:')\nprint(df)\nprint('\\nDataframe - table style:')\nth_props = [('font-size', '12px'), ('text-align', 'center'), ('font-weight', 'bold'), ('color', '#6d6d6d'), ('background-color', '#f7ffff')]\ntd_props = [('font-size', '12px')]\ndf.style.set_table_styles(styles)"""	"""styles = {}\n__original_start_marker = None\nimport pandas as pd\nimport numpy as np\nnp.random.seed(24)\ndf = pd.DataFrame({'A': np.linspace(1, 10, 10)})\ndf = pd.concat([df, pd.DataFrame(np.random.randn(10, 4), columns=list('BCDE'))], axis=1)\ndf.iloc[(0, 2)] = np.nan\ndf.iloc[(3, 3)] = np.nan\ndf.iloc[(4, 1)] = np.nan\ndf.iloc[(9, 4)] = np.nan\nprint('Original array:')\nprint(df)\nprint('\\nDataframe - table style:')\nth_props = [('font-size', '12px'), ('text-align', 'center'), ('font-weight', 'bold'), ('color', '#6d6d6d'), ('background-color', '#f7ffff')]\ntd_props = [('font-size', '12px')]\ndf.style.set_table_styles(styles)"""	styles	TBD4	list
"""import pandas as pd\nelement_pos = [0, 2, 6, 11, 21]\nprint('Original Series:')\nprint(num_series)\nresult = num_series.take(element_pos)\nprint('\\nExtract items at given positions of the said series:')\nprint(result)"""	"""class TBD2():\n\n    def __init__(self, *args, **kwargs):\n        pass\n\nclass TBD1():\n\n    def __init__(self, *args, **kwargs):\n        pass\n\n    def take(self, arg0):\n        return TBD2()\nnum_series = TBD1()\n__original_start_marker = None\nimport pandas as pd\nelement_pos = [0, 2, 6, 11, 21]\nprint('Original Series:')\nprint(num_series)\nresult = num_series.take(element_pos)\nprint('\\nExtract items at given positions of the said series:')\nprint(result)"""	num_series	TBD1	Series
"""import numpy as np\nx = np.arange(24).reshape((6, 4))\nprint('Original arrays:')\nprint(x)\nprint('After reverse the dimensions:')\nprint(new_array)"""	"""class TBD0():\n\n    def __init__(self, *args, **kwargs):\n        pass\nnew_array = TBD0()\n__original_start_marker = None\nimport numpy as np\nx = np.arange(24).reshape((6, 4))\nprint('Original arrays:')\nprint(x)\nprint('After reverse the dimensions:')\nprint(new_array)"""	new_array	TBD0	ndarray
"'string_words = \'United States Declaration of Independence\\nFrom Wikipedia, the free encyclopedia\\nThe United States Declaration of Independence is the statement\\nadopted by the Second Continental Congress meeting at the Pennsylvania State\\nHouse (Independence Hall) in Philadelphia on July 4, 1776, which announced\\nthat the thirteen American colonies, then at war with the Kingdom of Great\\nBritain, regarded themselves as thirteen independent sovereign states, no longer\\nunder British rule. These states would found a new nation – the United States of\\nAmerica. John Adams was a leader in pushing for independence, which was passed\\non July 2 with no opposing vote cast. A committee of five had already drafted the\\nformal declaration, to be ready when Congress voted on independence.\\n\\nJohn Adams persuaded the committee to select Thomas Jefferson to compose the original\\ndraft of the document, which Congress would edit to produce the final version.\\nThe Declaration was ultimately a formal explanation of why Congress had voted on July\\n2 to declare independence from Great Britain, more than a year after the outbreak of\\nthe American Revolutionary War. The next day, Adams wrote to his wife Abigail: ""The\\nSecond Day of July 1776, will be the most memorable Epocha, in the History of America.""\\nBut Independence Day is actually celebrated on July 4, the date that the Declaration of\\nIndependence was approved.\\n\\nAfter ratifying the text on July 4, Congress issued the Declaration of Independence in\\nseveral forms. It was initially published as the printed Dunlap broadside that was widely\\ndistributed and read to the public. The source copy used for this printing has been lost,\\nand may have been a copy in Thomas Jefferson\\\'s hand.[5] Jefferson\\\'s original draft, complete\\nwith changes made by John Adams and Benjamin Franklin, and Jefferson\\\'s notes of changes made\\nby Congress, are preserved at the Library of Congress. The best-known version of the Declaration\\nis a signed copy that is displayed at the National Archives in Washington, D.C., and which is\\npopularly regarded as the official document. This engrossed copy was ordered by Congress on\\nJuly 19 and signed primarily on August 2.\\n\\nThe sources and interpretation of the Declaration have been the subject of much scholarly inquiry.\\nThe Declaration justified the independence of the United States by listing colonial grievances against\\nKing George III, and by asserting certain natural and legal rights, including a right of revolution.\\nHaving served its original purpose in announcing independence, references to the text of the\\nDeclaration were few in the following years. Abraham Lincoln made it the centerpiece of his rhetoric\\n(as in the Gettysburg Address of 1863) and his policies. Since then, it has become a well-known statement\\non human rights, particularly its second sentence:\\n\\nWe hold these truths to be self-evident, that all men are created equal, that they are endowed by their\\nCreator with certain unalienable Rights, that among these are Life, Liberty and the pursuit of Happiness.\\n\\nThis has been called ""one of the best-known sentences in the English language"", containing ""the most potent\\nand consequential words in American history"". The passage came to represent a moral standard to which\\nthe United States should strive. This view was notably promoted by Abraham Lincoln, who considered the\\nDeclaration to be the foundation of his political philosophy and argued that it is a statement of principles\\nthrough which the United States Constitution should be interpreted.\\n\\nThe U.S. Declaration of Independence inspired many other similar documents in other countries, the first\\nbeing the 1789 Declaration of Flanders issued during the Brabant Revolution in the Austrian Netherlands\\n(modern-day Belgium). It also served as the primary model for numerous declarations of independence across\\nEurope and Latin America, as well as Africa (Liberia) and Oceania (New Zealand) during the first half of the\\n19th century.\'\nword_list = string_words.split()\nprint(\'String:\\n {} \\n\'.format(string_words))\nprint(\'List:\\n {} \\n\'.format(str(word_list)))\nprint(\'Pairs (Words and Frequencies:\\n {}\'.format(str(list(zip(word_list, word_freq)))))'"	"'word_freq = {}\n__original_start_marker = None\nstring_words = \'United States Declaration of Independence\\nFrom Wikipedia, the free encyclopedia\\nThe United States Declaration of Independence is the statement\\nadopted by the Second Continental Congress meeting at the Pennsylvania State\\nHouse (Independence Hall) in Philadelphia on July 4, 1776, which announced\\nthat the thirteen American colonies, then at war with the Kingdom of Great\\nBritain, regarded themselves as thirteen independent sovereign states, no longer\\nunder British rule. These states would found a new nation – the United States of\\nAmerica. John Adams was a leader in pushing for independence, which was passed\\non July 2 with no opposing vote cast. A committee of five had already drafted the\\nformal declaration, to be ready when Congress voted on independence.\\n\\nJohn Adams persuaded the committee to select Thomas Jefferson to compose the original\\ndraft of the document, which Congress would edit to produce the final version.\\nThe Declaration was ultimately a formal explanation of why Congress had voted on July\\n2 to declare independence from Great Britain, more than a year after the outbreak of\\nthe American Revolutionary War. The next day, Adams wrote to his wife Abigail: ""The\\nSecond Day of July 1776, will be the most memorable Epocha, in the History of America.""\\nBut Independence Day is actually celebrated on July 4, the date that the Declaration of\\nIndependence was approved.\\n\\nAfter ratifying the text on July 4, Congress issued the Declaration of Independence in\\nseveral forms. It was initially published as the printed Dunlap broadside that was widely\\ndistributed and read to the public. The source copy used for this printing has been lost,\\nand may have been a copy in Thomas Jefferson\\\'s hand.[5] Jefferson\\\'s original draft, complete\\nwith changes made by John Adams and Benjamin Franklin, and Jefferson\\\'s notes of changes made\\nby Congress, are preserved at the Library of Congress. The best-known version of the Declaration\\nis a signed copy that is displayed at the National Archives in Washington, D.C., and which is\\npopularly regarded as the official document. This engrossed copy was ordered by Congress on\\nJuly 19 and signed primarily on August 2.\\n\\nThe sources and interpretation of the Declaration have been the subject of much scholarly inquiry.\\nThe Declaration justified the independence of the United States by listing colonial grievances against\\nKing George III, and by asserting certain natural and legal rights, including a right of revolution.\\nHaving served its original purpose in announcing independence, references to the text of the\\nDeclaration were few in the following years. Abraham Lincoln made it the centerpiece of his rhetoric\\n(as in the Gettysburg Address of 1863) and his policies. Since then, it has become a well-known statement\\non human rights, particularly its second sentence:\\n\\nWe hold these truths to be self-evident, that all men are created equal, that they are endowed by their\\nCreator with certain unalienable Rights, that among these are Life, Liberty and the pursuit of Happiness.\\n\\nThis has been called ""one of the best-known sentences in the English language"", containing ""the most potent\\nand consequential words in American history"". The passage came to represent a moral standard to which\\nthe United States should strive. This view was notably promoted by Abraham Lincoln, who considered the\\nDeclaration to be the foundation of his political philosophy and argued that it is a statement of principles\\nthrough which the United States Constitution should be interpreted.\\n\\nThe U.S. Declaration of Independence inspired many other similar documents in other countries, the first\\nbeing the 1789 Declaration of Flanders issued during the Brabant Revolution in the Austrian Netherlands\\n(modern-day Belgium). It also served as the primary model for numerous declarations of independence across\\nEurope and Latin America, as well as Africa (Liberia) and Oceania (New Zealand) during the first half of the\\n19th century.\'\nword_list = string_words.split()\nprint(\'String:\\n {} \\n\'.format(string_words))\nprint(\'List:\\n {} \\n\'.format(str(word_list)))\nprint(\'Pairs (Words and Frequencies:\\n {}\'.format(str(list(zip(word_list, word_freq)))))'"	word_freq	TBD0	list
"'import pandas as pd\npd.set_option(\'display.max_rows\', None)\ndf = pd.DataFrame({\'ord_no\': [70001, 70009, 70002, 70004, 70007, 70005, 70008, 70010, 70003, 70012, 70011, 70013], \'purch_amt\': [150.5, 270.65, 65.26, 110.5, 948.5, 2400.6, 5760, 1983.43, 2480.4, 250.45, 75.29, 3045.6], \'ord_date\': [\'2012-10-05\', \'2012-09-10\', \'2012-10-05\', \'2012-08-17\', \'2012-09-10\', \'2012-07-27\', \'2012-09-10\', \'2012-10-10\', \'2012-10-10\', \'2012-06-27\', \'2012-08-17\', \'2012-04-25\'], \'customer_id\': [3001, 3001, 3005, 3001, 3005, 3001, 3005, 3001, 3005, 3001, 3005, 3005], \'salesman_id\': [5002, 5005, 5001, 5003, 5002, 5001, 5001, 5006, 5003, 5002, 5007, 5001]})\nprint(\'Original Orders DataFrame:\')\nprint(df)\ndf_agg = df.groupby([\'customer_id\', \'salesman_id\']).agg({\'purch_amt\': sum})\nprint(""\\nGroup on \'customer_id\', \'salesman_id\' and then sort sum of purch_amt within the groups:"")\nprint(result.nlargest())'"	"'class TBD12():\n\n    def __init__(self, *args, **kwargs):\n        pass\n\nclass TBD11():\n\n    def __init__(self, *args, **kwargs):\n        pass\n\n    def nlargest(self):\n        return TBD12()\nresult = TBD11()\n\nclass TBD10():\n\n    def __init__(self, *args, **kwargs):\n        pass\n\nclass TBD8():\n\n    def __init__(self, *args, **kwargs):\n        pass\n\n    def __lt__(self, other):\n        return TBD10()\n\nclass TBD7():\n\n    def __init__(self):\n        self.container = {\'purch_amt\': sum}\n        self.keys = list(self.container.keys())\n        self.iter_current = 0\n\n    def __refresh_keys(self):\n        self.keys = list(self.container.keys())\n        for key in self.keys:\n            if (not isinstance(key, int)):\n                return\n        sorted(self.keys)\n\n    def __str__(self):\n        self.__refresh_keys()\n        ret_str = \'\'\n        ret_str += \'[ \'\n        for (idx, (key, val)) in enumerate(self.container.items()):\n            ret_str += str(val)\n            if (idx < (len(self.keys) - 1)):\n                ret_str += \', \'\n        ret_str += \' ]\'\n        return ret_str\n\n    def __getitem__(self, key):\n        self.__refresh_keys()\n        ret_val = None\n        if isinstance(key, slice):\n            list_to_return = []\n            start = (key.start or 0)\n            stop = (key.stop or len(self.container))\n            step = (key.step or 1)\n            if (start < 0):\n                if ((start * (- 1)) > len(self.keys)):\n                    diff = ((start * (- 1)) - len(self.keys))\n                    if (len(self.keys) > 0):\n                        for i in range(max(self.keys), ((max(self.keys) + diff) + 1)):\n                            self.container[i] = 0\n                    else:\n                        for i in range(0, (diff + 1)):\n                            self.container[i] = 0\n                self.__refresh_keys()\n                start = self.keys[start]\n            if (stop < 0):\n                if ((stop * (- 1)) > len(self.keys)):\n                    diff = ((stop * (- 1)) - len(self.keys))\n                    if (len(self.keys) > 0):\n                        for i in range(max(self.keys), ((max(self.keys) + diff) + 1)):\n                            self.container[i] = 0\n                    else:\n                        for i in range(0, (diff + 1)):\n                            self.container[i] = 0\n                self.__refresh_keys()\n                stop = self.keys[stop]\n            for i in range(start, stop, step):\n                list_to_return.append(self.container[i])\n            ret_val = list_to_return\n        elif isinstance(key, int):\n            if (key < 0):\n                key = self.keys[key]\n            ret_val = self.container[key]\n        elif isinstance(key, str):\n            if (key not in self.container.keys()):\n                self.container[key] = key\n                print(\'[FROM INNER-WORLD], [ADD STR-KEY], [TGT {}], [ADDING (KEY, VALUE): ({}, {})]\'.format(type(self).__name__, key, \'TBD\'))\n            ret_val = self.container[key]\n        else:\n            if (key not in self.container.keys()):\n                self.container[key] = key\n                print(\'[FROM INNER-WORLD], [ADD OBJ-KEY], [TGT {}], [ADDING (KEY, VALUE): ({}, {})]\'.format(type(self).__name__, type(key).__name__, \'TBD\'))\n            ret_val = self.container[key]\n        return ret_val\n\n    def __setitem__(self, key, val):\n        self.__refresh_keys()\n        if isinstance(key, slice):\n            start = (key.start or 0)\n            stop = (key.stop or len(self.container))\n            step = (key.step or 1)\n            if (start < 0):\n                start = self.keys[start]\n            if (stop < 0):\n                stop = self.keys[stop]\n            for i in range(0, stop, step):\n                if (i not in self.keys):\n                    self.container[i] = 0\n            for i in range(start, stop, step):\n                self.container[i] = val\n            return True\n        elif isinstance(key, int):\n            if (key < 0):\n                key = self.keys[key]\n            for i in range(0, key):\n                if (i not in self.keys):\n                    self.container[i] = 0\n            self.container[key] = val\n            return True\n        elif isinstance(key, str):\n            self.container[key] = val\n            return True\n        self.__refresh_keys()\n        return False\n\n    def __iter__(self):\n        return iter(self.container.values())\n\n    def __len__(self):\n        return len(self.keys)\n__original_start_marker = None\nimport pandas as pd\npd.set_option(\'display.max_rows\', None)\ndf = pd.DataFrame({\'ord_no\': [70001, 70009, 70002, 70004, 70007, 70005, 70008, 70010, 70003, 70012, 70011, 70013], \'purch_amt\': [150.5, 270.65, 65.26, 110.5, 948.5, 2400.6, 5760, 1983.43, 2480.4, 250.45, 75.29, 3045.6], \'ord_date\': [\'2012-10-05\', \'2012-09-10\', \'2012-10-05\', \'2012-08-17\', \'2012-09-10\', \'2012-07-27\', \'2012-09-10\', \'2012-10-10\', \'2012-10-10\', \'2012-06-27\', \'2012-08-17\', \'2012-04-25\'], \'customer_id\': [3001, 3001, 3005, 3001, 3005, 3001, 3005, 3001, 3005, 3001, 3005, 3005], \'salesman_id\': [5002, 5005, 5001, 5003, 5002, 5001, 5001, 5006, 5003, 5002, 5007, 5001]})\nprint(\'Original Orders DataFrame:\')\nprint(df)\ndf_agg = df.groupby([\'customer_id\', \'salesman_id\']).agg(TBD7())\nprint(""\\nGroup on \'customer_id\', \'salesman_id\' and then sort sum of purch_amt within the groups:"")\nprint(result.nlargest())'"	result	TBD11	SeriesGroupBy
